neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,expensive,number_of_reviews,reviews_per_month,calculated_host_listings_count,price
1,0,0,0,0,0,1,0,1,46,0.55,2,500.0
0,1,0,0,0,1,0,0,0,335,3.02,1,101.0
0,1,0,0,0,0,1,0,1,88,0.79,1,220.0
0,1,0,0,0,0,1,0,1,162,1.46,2,125.0
0,1,0,0,0,0,1,0,0,29,0.4,1,80.0
1,0,0,0,0,1,0,0,0,170,1.61,1,100.0
0,1,0,0,0,0,1,0,1,19,0.2,1,200.0
1,0,0,0,0,1,0,0,0,334,3.0,2,59.0
0,1,0,0,0,1,0,0,1,19,0.2,6,125.0
1,0,0,0,0,0,1,0,1,12,0.13,1,140.0
0,1,0,0,0,0,1,0,1,467,4.22,2,120.0
1,0,0,0,0,0,1,0,1,7,0.06,4,350.0
1,0,0,0,0,0,1,0,1,38,0.38,1,199.0
0,1,0,0,0,0,1,0,1,324,3.01,1,325.0
1,0,0,0,0,0,1,0,1,27,0.27,1,235.0
1,0,0,0,0,0,1,0,1,115,1.05,4,225.0
0,1,0,0,0,1,0,0,0,354,3.2,3,99.0
1,0,0,0,0,0,1,0,1,195,2.03,1,170.0
0,1,0,0,0,0,1,0,1,16,0.24,2,400.0
1,0,0,0,0,0,1,0,1,13,0.12,1,170.0
1,0,0,0,0,0,1,0,0,25,0.23,1,100.0
0,1,0,0,0,1,0,0,0,9,0.08,1,75.0
0,1,0,0,0,1,0,0,0,9,0.08,1,90.0
1,0,0,0,0,0,1,0,1,21,0.19,1,150.0
1,0,0,0,0,1,0,0,0,36,0.33,1,85.0
0,1,0,0,0,1,0,0,0,63,0.58,2,70.0
1,0,0,0,0,0,1,0,1,155,1.42,3,120.0
0,1,0,0,0,1,0,0,0,260,2.35,1,89.0
1,0,0,0,0,0,1,0,1,73,0.66,1,185.0
0,1,0,0,0,1,0,0,0,193,1.86,1,50.0
1,0,0,0,0,0,1,0,0,32,0.29,1,105.0
1,0,0,0,0,1,0,0,1,50,0.45,3,130.0
1,0,0,0,0,0,1,0,1,26,0.25,1,115.0
0,1,0,0,0,1,0,0,0,2,0.02,1,77.0
0,1,0,0,0,1,0,0,0,426,3.89,3,76.0
0,1,0,0,0,0,1,0,1,227,2.09,2,125.0
0,1,0,0,0,1,0,0,1,84,0.77,3,135.0
0,1,0,0,0,0,1,0,1,3,0.03,1,250.0
0,1,0,0,0,0,1,0,1,10,0.1,1,199.0
0,1,0,0,0,0,1,0,1,4,0.04,1,140.0
0,0,0,1,0,1,0,0,1,1,0.01,1,140.0
0,1,0,0,0,0,1,0,1,124,1.72,2,115.0
0,1,0,0,0,0,1,0,1,11,0.11,1,160.0
0,1,0,0,0,0,1,0,1,240,2.19,1,195.0
1,0,0,0,0,0,1,0,1,30,0.28,1,195.0
0,1,0,0,0,1,0,0,0,200,1.86,4,80.0
0,1,0,0,0,1,0,0,0,27,1.05,5,44.0
1,0,0,0,0,1,0,0,1,79,0.74,1,156.0
0,1,0,0,0,1,0,0,0,9,0.09,1,85.0
0,1,0,0,0,1,0,0,1,155,1.61,1,125.0
0,1,0,0,0,0,1,0,1,4,0.05,1,115.0
1,0,0,0,0,1,0,0,0,34,0.32,1,69.0
1,0,0,0,0,0,1,0,1,134,1.24,1,225.0
0,1,0,0,0,0,1,0,1,27,0.25,1,125.0
1,0,0,0,0,0,1,0,1,126,1.16,2,219.0
0,1,0,0,0,0,1,0,1,23,0.27,1,475.0
1,0,0,0,0,0,1,0,0,234,2.6,2,99.0
0,1,0,0,0,1,0,0,0,202,1.86,2,69.0
0,0,0,1,0,1,0,0,0,28,0.26,1,79.0
0,1,0,0,0,0,1,0,1,309,2.86,2,135.0
0,1,0,0,0,1,0,0,1,14,0.13,1,250.0
1,0,0,0,0,0,1,0,1,4,0.08,1,250.0
0,1,0,0,0,0,1,0,1,80,2.17,1,250.0
1,0,0,0,0,0,1,0,0,2,0.04,1,80.0
0,1,0,0,0,1,0,0,0,294,3.47,3,70.0
0,1,0,0,0,0,1,0,1,150,1.4,3,165.0
0,0,0,0,1,1,0,0,0,166,1.66,1,70.0
0,1,0,0,0,1,0,0,0,47,0.94,1,50.0
0,0,1,0,0,1,0,0,0,219,2.04,3,40.0
0,1,0,0,0,0,1,0,1,193,1.78,1,150.0
1,0,0,0,0,1,0,0,1,84,0.78,4,125.0
1,0,0,0,0,0,1,0,1,114,1.06,1,196.0
0,1,0,0,0,1,0,0,1,213,2.0,2,110.0
1,0,0,0,0,0,1,0,1,86,0.8,1,170.0
1,0,0,0,0,0,1,0,1,80,0.75,3,165.0
1,0,0,0,0,0,1,0,1,38,0.36,1,150.0
1,0,0,0,0,0,1,0,0,18,1.79,1,100.0
0,1,0,0,0,1,0,0,0,206,1.92,2,65.0
0,0,0,1,0,0,1,0,1,10,0.11,5,350.0
1,0,0,0,0,1,0,0,0,122,1.18,2,99.0
0,1,0,0,0,0,1,0,1,33,0.58,1,200.0
0,1,0,0,0,0,1,0,1,52,0.5,1,150.0
0,1,0,0,0,1,0,0,0,126,1.17,4,90.0
0,1,0,0,0,1,0,0,1,51,0.48,3,120.0
1,0,0,0,0,1,0,0,0,199,1.85,1,75.0
0,1,0,0,0,0,1,0,1,30,0.29,1,175.0
1,0,0,0,0,0,1,0,1,3,0.03,1,125.0
1,0,0,0,0,0,1,0,1,41,0.38,1,275.0
1,0,0,0,0,0,1,0,1,109,1.04,1,299.0
0,1,0,0,0,0,1,0,1,151,1.43,3,135.0
1,0,0,0,0,1,0,0,1,0,0.0,2,130.0
1,0,0,0,0,1,0,0,0,285,2.69,1,83.0
1,0,0,0,0,1,0,0,1,375,3.52,1,123.0
0,0,0,1,0,1,0,0,0,52,0.49,2,55.0
1,0,0,0,0,0,1,0,1,10,1.01,1,195.0
0,1,0,0,0,1,0,0,0,11,0.48,1,80.0
0,0,0,1,0,0,1,0,0,33,0.31,5,98.0
0,0,0,1,0,1,0,0,1,6,0.06,5,140.0
0,0,0,1,0,0,1,0,1,38,0.38,5,265.0
0,1,0,0,0,0,1,0,1,358,3.44,2,249.0
1,0,0,0,0,0,0,1,0,10,0.09,1,105.0
1,0,0,0,0,1,0,0,1,0,0.0,1,200.0
0,1,0,0,0,1,0,0,0,226,2.12,3,100.0
1,0,0,0,0,0,1,0,1,104,1.0,5,121.0
0,0,1,0,0,1,0,0,0,138,1.45,3,45.0
1,0,0,0,0,1,0,0,0,204,1.92,1,100.0
0,1,0,0,0,0,1,0,1,253,3.04,1,140.0
0,1,0,0,0,1,0,0,0,23,0.22,1,71.0
1,0,0,0,0,1,0,0,1,115,1.17,1,130.0
1,0,0,0,0,0,1,0,1,129,1.22,1,199.0
0,1,0,0,0,1,0,0,0,82,1.13,2,69.0
0,1,0,0,0,1,0,0,0,37,0.35,1,68.0
1,0,0,0,0,0,1,0,1,204,2.04,1,130.0
0,1,0,0,0,0,1,0,1,69,0.65,1,195.0
1,0,0,0,0,1,0,0,0,192,1.84,5,64.0
0,0,0,1,0,0,1,0,1,17,0.16,1,140.0
0,1,0,0,0,0,1,0,1,222,2.12,1,159.0
