neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,number_of_reviews,reviews_per_month,calculated_host_listings_count
1,0,0,0,0,0,1,0,13,0.37,1
0,1,0,0,0,0,1,0,143,2.07,1
0,1,0,0,0,1,0,0,5,0.21,2
1,0,0,0,0,1,0,0,0,0.0,1
0,0,0,1,0,1,0,0,5,0.36,1
1,0,0,0,0,1,0,0,10,5.0,1
0,0,0,1,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,17,0.32,1
1,0,0,0,0,0,1,0,1,0.04,2
1,0,0,0,0,1,0,0,4,0.78,2
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,28,0.85,1
1,0,0,0,0,1,0,0,1,0.04,1
1,0,0,0,0,1,0,0,65,2.69,1
0,1,0,0,0,1,0,0,3,0.43,2
1,0,0,0,0,1,0,0,19,0.35,1
0,1,0,0,0,0,1,0,22,0.78,1
1,0,0,0,0,0,1,0,12,0.14,1
0,1,0,0,0,1,0,0,5,0.27,2
0,1,0,0,0,0,1,0,6,0.26,1
0,1,0,0,0,1,0,0,86,0.89,3
1,0,0,0,0,1,0,0,3,0.06,3
1,0,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,1,0,0,4,1.14,1
1,0,0,0,0,0,1,0,3,0.04,1
1,0,0,0,0,1,0,0,7,0.29,2
1,0,0,0,0,0,1,0,2,0.06,9
1,0,0,0,0,0,1,0,1,1.0,1
1,0,0,0,0,1,0,0,2,0.08,1
0,1,0,0,0,1,0,0,1,1.0,1
1,0,0,0,0,1,0,0,1,0.03,2
0,1,0,0,0,1,0,0,2,0.08,1
0,0,0,1,0,0,1,0,1,1.0,1
0,1,0,0,0,0,1,0,3,0.51,1
0,0,1,0,0,0,1,0,83,5.19,1
0,1,0,0,0,1,0,0,0,0.0,6
1,0,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,0,1,0,31,1.15,3
0,1,0,0,0,0,1,0,51,1.19,2
0,1,0,0,0,1,0,0,18,0.37,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,82,4.44,1
1,0,0,0,0,1,0,0,13,0.18,1
1,0,0,0,0,0,1,0,64,1.96,1
1,0,0,0,0,0,1,0,4,0.35,1
0,1,0,0,0,1,0,0,3,0.07,2
0,1,0,0,0,0,1,0,51,2.12,1
1,0,0,0,0,0,1,0,2,0.18,1
0,1,0,0,0,1,0,0,2,0.06,1
0,0,0,1,0,1,0,0,0,0.0,8
0,0,0,1,0,1,0,0,0,0.0,1
0,1,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,0,0,1,9,0.19,5
0,1,0,0,0,1,0,0,7,2.69,10
0,1,0,0,0,0,1,0,1,0.02,1
1,0,0,0,0,1,0,0,3,0.07,1
1,0,0,0,0,1,0,0,1,0.09,1
