iteration,model_name,clock_time
1000,rhc,0.03099989891052246
1000,sa,0.00800013542175293
1000,ga,1.9839999675750732
1000,mimic,2.0360000133514404
2000,rhc,0.003000020980834961
2000,sa,0.002000093460083008
2000,ga,3.069000005722046
2000,mimic,2.5199999809265137
5000,rhc,0.003999948501586914
5000,sa,0.0029997825622558594
5000,ga,6.841000080108643
5000,mimic,5.477999925613403
10000,rhc,0.007999897003173828
10000,sa,0.003999948501586914
10000,ga,13.496000051498413
10000,mimic,10.95799994468689
25000,rhc,0.009000062942504883
25000,sa,0.006000041961669922
25000,ga,33.753000020980835
25000,mimic,27.07699990272522
50000,rhc,0.011999845504760742
50000,sa,0.015000104904174805
50000,ga,67.25
50000,mimic,54.200000047683716
100000,rhc,0.021999835968017578
100000,sa,0.02200007438659668
100000,ga,135.88199996948242
100000,mimic,108.46600008010864
200000,rhc,0.04400014877319336
200000,sa,0.04199981689453125
200000,ga,271.59099984169006
200000,mimic,221.85700011253357
