iteration,model_name,clock_time
1000,rhc,0.009000062942504883
1000,sa,0.005000114440917969
1000,ga,0.6380000114440918
1000,mimic,3.630000114440918
2000,rhc,0.0009999275207519531
2000,sa,0.0010001659393310547
2000,ga,0.4219999313354492
2000,mimic,9.83899998664856
5000,rhc,0.002000093460083008
5000,sa,0.009000062942504883
5000,ga,2.7220001220703125
5000,mimic,21.049000024795532
10000,rhc,0.003000020980834961
10000,sa,0.002000093460083008
10000,ga,1.809999942779541
10000,mimic,28.842000007629395
25000,rhc,0.004999876022338867
25000,sa,0.009000062942504883
25000,ga,5.376000165939331
25000,mimic,68.05400013923645
50000,rhc,0.009000062942504883
50000,sa,0.013000011444091797
50000,ga,8.519000053405762
50000,mimic,137.77999997138977
