iteration,model_name,clock_time
1000,rhc,0.012000083923339844
1000,sa,0.007999897003173828
1000,ga,0.25799989700317383
1000,mimic,3.324000120162964
2000,rhc,0.0010001659393310547
2000,sa,0.0019998550415039062
2000,ga,0.3319997787475586
2000,mimic,5.166999816894531
5000,rhc,0.002000093460083008
5000,sa,0.003000020980834961
5000,ga,0.5190000534057617
5000,mimic,11.924000024795532
10000,rhc,0.004000186920166016
10000,sa,0.006000041961669922
10000,ga,0.8169999122619629
10000,mimic,24.063000202178955
25000,rhc,0.00800013542175293
25000,sa,0.010999917984008789
25000,ga,2.365999937057495
25000,mimic,58.85800004005432
50000,rhc,0.01399993896484375
50000,sa,0.01699995994567871
50000,ga,3.925999879837036
50000,mimic,113.15999984741211
100000,rhc,0.04200005531311035
100000,sa,0.037999868392944336
100000,ga,8.049000024795532
100000,mimic,239.42000007629395
200000,rhc,0.059999942779541016
200000,sa,0.07599997520446777
200000,ga,17.244999885559082
200000,mimic,510.7589998245239
