iteration,model_name,fitness_val
1000,rhc,0.3329506911397098
1000,sa,0.23441643938902884
1000,ga,0.3329506911397099
1000,mimic,0.3329506911397098
2000,rhc,0.20848009437376439
2000,sa,0.18362017690447455
2000,ga,0.1864337925544552
2000,mimic,0.2946879099010467
5000,rhc,0.20848009437376439
5000,sa,0.18485457937055647
5000,ga,0.1864337925544552
5000,mimic,0.31388273564135794
10000,rhc,0.20848009437376439
10000,sa,0.16521533560626422
10000,ga,0.1864337925544552
10000,mimic,0.3329506911397098
25000,rhc,0.20848009437376439
25000,sa,0.24756764688613192
25000,ga,0.1864337925544552
25000,mimic,0.3300312798522045
50000,rhc,0.20848009437376439
50000,sa,0.1932305589774675
50000,ga,0.1864337925544552
50000,mimic,0.3329506911397098
100000,rhc,0.20848009437376439
100000,sa,0.22372317029054575
100000,ga,0.1864337925544552
100000,mimic,0.3329506911397098
200000,rhc,0.20848009437376439
200000,sa,0.21074189499794146
200000,ga,0.1864337925544552
200000,mimic,0.3329506911397098
